IBM,Azure,Google,AWS,sentiment
0.7600509999999999,0.9581071138381949,0.30000001192092896,0.514261484146118,neutral
0.9089440000000001,0.9617360830307,0.4000000059604645,0.8206198811531059,neutral
-0.675144,0.5,0.0,0.9459997415542599,neutral
0.707989,0.5,0.6000000238418579,0.710917651653289,positive
0.806287,0.5,0.30000001192092896,0.572770059108734,neutral
-0.463222,0.5,-0.10000000149011612,0.9346462488174432,negative
0.988573,0.96678352355957,0.0,0.8393927216529841,positive
0.739219,0.855387032032012,0.30000001192092896,0.3943231999874111,neutral
0.820413,0.9268252849578852,0.30000001192092896,0.536832153797149,neutral
0.81505,0.5,0.30000001192092896,0.542346119880676,positive
0.830807,0.8392119407653801,0.4000000059604645,0.943950831890106,positive
0.8416300000000001,0.932895183563232,0.5,0.789663553237915,positive
0.988573,0.96678352355957,0.0,0.8870751261711121,neutral
0.6559809999999999,0.797287881374359,0.10000000149011612,0.9640709757804872,neutral
0.624714,0.935219407081604,0.10000000149011612,0.549172282218933,neutral
0.663297,0.925317227840423,0.30000001192092896,0.8381326198577881,neutral
0.5074449999999999,0.5,0.30000001192092896,0.6961534023284911,positive
0.902415,0.5,0.30000001192092896,0.879743099212646,positive
0.6147589999999999,0.707954168319702,0.30000001192092896,0.915924668312072,positive
0.988573,0.9626729488372799,0.0,0.756299495697021,neutral
0.6869069999999999,0.9606990218162532,0.5,0.8123351335525509,neutral
0.803157,0.8520795702934261,0.20000000298023224,0.7756006121635429,neutral
0.698681,0.8693052530288691,0.30000001192092896,0.9983546137809752,neutral
0.651193,0.8283957839012142,0.30000001192092896,0.7738992571830751,positive
0.463971,0.5,0.30000001192092896,0.985701322555542,neutral
0.7639849999999999,0.5,0.20000000298023224,0.7166553735733029,positive
0.531675,0.8854767680168151,0.0,0.6977890133857719,neutral
0.6131519999999999,0.22703486680984405,0.10000000149011612,0.7194253206253051,neutral
0.988573,0.96678352355957,0.0,0.7943308353424071,neutral
0.46304300000000004,0.119017541408538,-0.10000000149011612,0.338629901409149,neutral
0.480588,0.5,0.0,0.317611426115036,positive
0.43413,0.8214210271835319,0.20000000298023224,0.816000461578369,positive
0.7879029999999999,0.9457509517669672,0.5,0.915632545948028,positive
0.8585889999999999,0.5,0.4000000059604645,0.51977252960205,positive
0.988573,0.9418329000473019,0.0,0.6534186601638791,neutral
0.0,0.5,0.20000000298023224,0.9672632813453672,neutral
0.995001,0.9590371847152712,0.30000001192092896,0.8876772522926331,neutral
0.805372,0.9195653200149532,0.10000000149011612,0.7259474992752071,positive
0.851915,0.5,0.20000000298023224,0.846040546894073,positive
0.8916209999999999,0.5,0.30000001192092896,0.528952836990356,positive
0.836151,0.5,0.4000000059604645,0.645085990428924,positive
0.643095,0.8593083620071411,0.0,0.7788853049278249,neutral
0.8691439999999999,0.9621855616569512,0.0,0.904009580612182,neutral
0.975863,0.936561942100524,0.20000000298023224,0.974079608917236,neutral
0.601596,0.8734886646270751,0.0,0.6611864566802971,neutral
0.515911,0.7495814561843871,0.0,0.9790179729461672,neutral
0.427862,0.5,0.0,0.995101511478424,positive
0.532098,0.5,0.30000001192092896,0.984618246555328,positive
0.990295,0.5,0.10000000149011612,0.959305524826049,positive
-0.38361300000000004,0.5,-0.20000000298023224,0.96065205335617,negative
-0.524238,0.5,-0.20000000298023224,0.886279940605163,neutral
-0.816585,0.5,0.0,0.976488590240478,negative
0.8282290000000001,0.5,0.0,0.9961742758750912,negative
0.8207329999999999,0.8635293245315551,0.5,0.991754412651062,positive
0.98592,0.5,0.10000000149011612,0.5678607225418091,positive
0.789144,0.5,0.0,0.864204168319702,positive
0.781957,0.5,0.0,0.9913869500160212,positive
0.890014,0.5,0.20000000298023224,0.621609628200531,positive
0.464945,0.5,0.10000000149011612,0.9581927061080929,negative
0.8015859999999999,0.5,0.30000001192092896,0.8900355100631709,neutral
0.991431,0.5,0.5,0.5399340391159051,positive
-0.8079259999999999,0.5,0.10000000149011612,0.967413067817688,neutral
0.8677509999999999,0.939480662345886,0.30000001192092896,0.9876290559768672,positive
0.910834,0.958371937274932,0.4000000059604645,0.953439772129058,neutral
0.8870100000000001,0.87574553489685,0.5,0.9721866846084591,positive
0.840533,0.9380160570144652,0.6000000238418579,0.8070964813232421,positive
0.955906,0.9582642316818232,0.5,0.717540085315704,positive
0.750262,0.8142601251602171,0.4000000059604645,0.780045390129089,positive
0.6420049999999999,0.5,0.10000000149011612,0.8057522773742671,positive
0.517338,0.8469997644424431,0.4000000059604645,0.8394483327865601,positive
0.8793190000000001,0.7910948991775509,0.5,0.7812410593032829,positive
0.883656,0.5,0.5,0.7770060896873471,positive
0.7126159999999999,0.5,-0.10000000149011612,0.790449500083923,positive
0.870394,0.9409086108207699,0.5,0.5792094469070429,positive
-0.388639,0.869114458560943,0.30000001192092896,0.958089053630828,positive
0.499332,0.202546685934066,0.30000001192092896,0.6219378113746641,positive
0.918543,0.969394207000732,0.5,0.8291556239128111,positive
0.797774,0.7566955089569091,0.6000000238418579,0.8269523382186891,positive
0.7780969999999999,0.5,0.5,0.8731173872947691,positive
0.727931,0.7819231748580929,0.0,0.6726586222648621,positive
0.93512,0.810043573379516,0.699999988079071,0.6679864525794981,positive
0.914169,0.5,-0.6000000238418579,0.8916133642196651,positive
0.6903739999999999,0.5,0.0,0.9957476258277892,positive
0.759523,0.5,0.0,0.969403266906738,neutral
0.9244620000000001,0.8226830959320061,0.699999988079071,0.9216252565383912,positive
0.887034,0.5,0.0,0.99349045753479,positive
0.942204,0.5,-0.10000000149011612,0.8975883722305291,positive
0.685533,0.782137632369995,0.4000000059604645,0.785483360290527,positive
0.8985860000000001,0.7472729682922361,0.6000000238418579,0.61195683479309,positive
0.6474310000000001,0.5,0.0,0.920344114303588,positive
0.8333800000000001,0.8122354745864859,0.4000000059604645,0.7956846952438351,positive
0.7578739999999999,0.905850052833557,0.6000000238418579,0.953425109386444,positive
0.978366,0.954911649227142,0.10000000149011612,0.917460978031158,neutral
0.0,0.7605570554733271,0.0,0.973355770111084,neutral
-0.45018400000000003,0.5,-0.20000000298023224,0.992653965950012,negative
0.920209,0.936935305595398,0.10000000149011612,0.5376402139663691,neutral
0.5473,0.5,-0.10000000149011612,0.436084419488906,neutral
0.86665,0.9105193614959712,0.20000000298023224,0.966601014137268,positive
0.865898,0.5,0.20000000298023224,0.5415900349617,positive
0.7427039999999999,0.5,0.30000001192092896,0.8599795699119561,positive
0.988573,0.9688605070114132,0.0,0.8632713556289671,neutral
0.342987,0.891945123672485,0.0,0.649832189083099,neutral
0.659239,0.5,0.10000000149011612,0.531759679317474,neutral
0.959921,0.9079120755195612,0.6000000238418579,0.9983260035514828,positive
