IBM,Azure,Google,AWS,IBM_Sentiments,Azure_Sentiments,Google_Sentiments,AWS_Sentiments,Average_score,Average_Sentiments
0.7484552929096082,0.9173464450288806,0.2500000279396779,-0.3924412306144597,positive,positive,neutral,negative,0.38084013381592674,positive
0.9046230558087387,0.9252129455382707,0.3750000232830648,0.48738676625006994,positive,positive,positive,positive,0.673055697720036,positive
-0.7568618977844951,-0.07569032469793457,-0.12499999534338702,0.8474640890903038,negative,neutral,neutral,positive,-0.02752203218387822,neutral
0.693849595717299,-0.07569032469793457,0.6250000512227427,0.1723338942695598,positive,neutral,positive,neutral,0.35387330412791673,positive
0.7969503375752687,-0.07569032469793457,0.2500000279396779,-0.22441096667629712,positive,neutral,neutral,neutral,0.18671226853517872,neutral
-0.5345856010538934,-0.07569032469793457,-0.25,0.814858092748634,negative,neutral,neutral,positive,-0.011354458250798505,neutral
0.9881426490192642,0.9361542601059105,-0.12499999534338702,0.5413003224438251,positive,positive,neutral,positive,0.5851493090564032,positive
0.7266054622478937,0.6946805768474174,0.2500000279396779,-0.7368909383086703,positive,positive,neutral,negative,0.23359878218157967,neutral
0.811766519791445,0.8495369625648692,0.2500000279396779,-0.32762072214801596,positive,positive,neutral,neutral,0.39592069703699406,positive
0.8061414889812117,-0.07569032469793457,0.2500000279396779,-0.31178521125148284,positive,neutral,neutral,neutral,0.16716649524286806,neutral
0.8226683602243299,0.6596179028651794,0.3750000232830648,0.8415798433729329,positive,positive,positive,positive,0.6747165324363767,positive
0.8340201611676739,0.8626946549943129,0.5000000186264519,0.39848355926768475,positive,positive,positive,positive,0.6487995985140308,positive
0.9881426490192642,0.9361542601059105,-0.12499999534338702,0.6782390023126581,positive,positive,neutral,positive,0.6193839790236114,positive
0.6393005369109213,0.5687393042713158,9.31322596819939e-09,0.8993627083723741,positive,positive,neutral,positive,0.5268506397169592,positive
0.6065058625973736,0.8677328640617723,9.31322596819939e-09,-0.29218121542497477,positive,positive,neutral,neutral,0.2955143801368493,neutral
0.6469739893456905,0.8462679538041431,0.2500000279396779,0.5376814471358722,positive,positive,neutral,positive,0.5702308545563459,positive
0.4835072166743406,-0.07569032469793457,0.2500000279396779,0.12993257595887164,positive,neutral,neutral,neutral,0.1969373739687389,neutral
0.8977750554059767,-0.07569032469793457,0.2500000279396779,0.6571822183144158,positive,neutral,neutral,positive,0.43231674424053396,positive
0.5960644712649343,0.3750910085785488,0.2500000279396779,0.7610917496840994,positive,positive,neutral,positive,0.4955618143668151,positive
0.9881426490192642,0.927243785414209,-0.12499999534338702,0.3026656146633848,positive,positive,neutral,neutral,0.5232630134383678,positive
0.6717375503058995,0.9229649125187112,0.5000000186264519,0.4635938721850241,positive,positive,positive,positive,0.6395740884090217,positive
0.7936674089092182,0.6875110066275572,0.12500001396983884,0.3580963219783917,positive,positive,neutral,positive,0.49106868787125146,positive
0.6840868161570437,0.724851043102051,0.2500000279396779,0.9978215880436567,positive,positive,neutral,positive,0.6641898688106074,positive
0.634278600024963,0.6361717673462193,0.2500000279396779,0.35321021551274634,positive,positive,neutral,positive,0.4684151527059016,positive
0.4379091205631953,-0.07569032469793457,0.2500000279396779,0.9614827118079181,positive,neutral,neutral,positive,0.3934253839032142,positive
